fish_id,treatment,tank,Body_mass1,body_mass2,body_length,sex
1T2C,control,2,0.697,0.673,3.3,male
2T2C,control,2,0.424,0.424,2.75,female
3T2C,control,2,0.624,0.581,3.3,female
4T2C,control,2,0.629,0.614,3.25,female
5T2C,control,2,1.003,0.974,3.78,male
6T2C,control,2,0.573,0.555,3.1,female
7T17L,low,17,0.909,0.916,3.85,male
8T17L,low,17,0.804,0.772,3.5,male
9T17L,low,17,0.655,0.601,3.25,female
10T17L,low,17,1.026,0.992,3.95,male
11T17L,low,17,0.631,0.57,3.2,female
12T17L,low,17,0.597,0.549,3.21,female
13T3H,high,3,0.573,0.511,3.1,male
14T3H,high,3,0.832,0.753,3.5,male
15T3H,high,3,0.452,0.425,2.78,male
16T3H,high,3,0.687,0.638,3.28,female
17T3H,high,3,0.838,0.802,3.65,male
18T3H,high,3,0.759,0.727,3.42,male
19T6C,control,6,0.543,0.522,3.11,female
20T6C,control,6,0.771,0.686,3.4,male
21T6C,control,6,1.166,1.122,3.95,male
22T6C,control,6,0.688,0.53,3.1,female
23T6C,control,6,0.728,0.673,3.3,female
24T6C,control,6,0.455,0.397,2.8,male
25T18L,low,18,0.945,0.927,3.7,male
26T18L,low,18,0.567,0.548,3.1,female
27T18L,low,18,0.804,0.744,3.45,female
28T18L,low,18,0.624,0.599,3.25,female
29T18L,low,18,0.675,0.646,3.38,female
30T18L,low,18,0.836,0.809,3.49,male
31T5H,high,5,0.911,0.882,3.6,male
32T5H,high,5,0.828,0.799,3.65,male
33T5H,high,5,0.564,0.53,3.1,male
34T5H,high,5,0.556,0.522,3.1,male
35T5H,high,5,0.924,0.874,3.61,male
36T5H,high,5,0.603,0.571,3.12,female
37T10C,control,10,0.745,0.709,3.51,male
38T10C,control,10,0.49,0.474,3.1,female
39T10C,control,10,0.929,0.859,3.72,male
40T10C,control,10,0.624,0.562,3.2,male
41T10C,control,10,0.787,0.736,3.49,female
42T10C,control,10,0.537,0.525,3.12,male
43T22L,low,22,0.797,0.791,3.6,male
44T22L,low,22,0.893,0.826,3.6,male
45T22L,low,22,0.655,0.602,3.35,male
46T22L,low,22,0.63,0.604,3.31,male
47T22L,low,22,0.623,0.554,3.21,female
48T22L,low,22,0.675,0.625,3.29,female
49T14H,high,14,0.669,0.627,3.45,female
50T14H,high,14,0.688,0.674,3.39,female
51T14H,high,14,0.837,0.788,3.49,male
52T14H,high,14,0.454,0.429,2.75,female
53T14H,high,14,0.467,0.451,3.05,female
54T14H,high,14,0.802,0.774,3.5,male
55T11C,control,11,0.486,0.436,2.98,male
56T11C,control,11,1.123,1.062,3.75,female
57T11C,control,11,0.619,0.594,3.22,male
58T11C,control,11,1.25,1.125,3.95,female
59T11C,control,11,0.533,0.514,2.95,female
60T11C,control,11,0.478,0.456,3.1,female
61T24L,low,24,0.408,0.392,2.8,female
62T24L,low,24,0.724,0.643,3.35,female
63T24L,low,24,1.117,1.05,3.8,male
64T24L,low,24,0.636,0.59,3.3,male
65T24L,low,24,0.677,0.623,3.35,male
66T24L,low,24,0.867,0.829,3.7,male
67T19H,high,19,0.562,0.514,3.12,female
68T19H,high,19,0.561,0.513,2.8,female
69T19H,high,19,0.523,0.507,3.12,male
70T19H,high,19,0.337,0.307,2.58,female
71T19H,high,19,1.236,1.095,3.92,male
72T19H,high,19,0.759,0.731,3.43,male
73T13C,control,13,0.573,0.5009,3,female
74T13C,control,13,0.711,0.683,3.4,male
75T13C,control,13,1.292,1.281,4.09,male
76T13C,control,13,0.452,0.435,2.95,female
77T13C,control,13,0.71,0.681,3.38,female
78T13C,control,13,1.15,1.129,3.95,male
79T13C,control,13,0.772,0.731,3.5,female
80T1L,low,1,1.031,1.005,3.5,male
81T1L,low,1,0.54,0.5087,3.3,female
82T1L,low,1,0.805,0.7376,3.4,male
83T1L,low,1,1.016,0.961,3.88,female
84T1L,low,1,0.423,0.377,2.8,female
85T1L,low,1,0.46,0.4208,3,female
86T1L,low,1,0.652,0.611,3.32,female
87T7H,high,7,0.637,0.607,3.07,male
88T7H,high,7,0.456,0.429,2.7,female
89T7H,high,7,0.488,0.434,3.15,male
90T7H,high,7,0.878,0.7647,3.55,female
91T7H,high,7,0.698,0.6571,3.45,male
92T7H,high,7,0.614,0.601,3.22,male
93T7H,high,7,0.713,0.6488,3.35,male
94T16C,control,16,0.786,0.735,3.42,female
95T16C,control,16,0.966,0.962,3.66,male
96T16C,control,16,0.415,0.403,2.73,female
97T16C,control,16,0.458,0.438,2.98,female
98T16C,control,16,0.857,0.836,3.65,male
99T16C,control,16,0.896,0.87,3.6,male
100T16C,control,16,0.871,0.859,3.58,male
101T4L,low,4,1.14,1.082,3.91,male
102T4L,low,4,1.258,1.231,4,female
103T4L,low,4,0.777,0.735,3.45,male
104T4L,low,4,0.752,0.717,3.48,male
105T4L,low,4,1.017,0.971,3.68,male
106T4L,low,4,0.549,0.512,3.1,female
107T4L,low,4,0.704,0.667,3.4,male
108T12H,high,12,0.873,0.7384,3.49,female
109T12H,high,12,0.837,0.835,3.58,male
110T12H,high,12,1.283,1.187,3.94,male
111T12H,high,12,0.524,0.428,2.97,female
112T12H,high,12,0.451,0.443,3.05,female
113T12H,high,12,0.887,0.844,3.7,male
114T12H,high,12,0.905,0.861,3.61,female
115T21C,control,21,0.625,0.5587,3.19,male
116T21C,control,21,0.983,0.969,3.8,male
117T21C,control,21,0.564,0.501,3.05,male
118T21C,control,21,0.493,0.442,2.95,female
120T21C,control,21,0.55,0.449,2.97,male
121T21C,control,21,0.532,0.489,2.95,male
122T8L,low,8,0.68,0.608,3.21,female
123T8L,low,8,0.678,0.653,3.4,male
124T8L,low,8,0.563,0.493,3.08,male
125T8L,low,8,0.567,0.517,3.05,female
126T8L,low,8,0.694,0.657,3.43,female
127T8L,low,8,0.36,0.352,2.75,male
128T8L,low,8,0.524,0.532,3.19,female
129T15H,high,15,0.478,0.439,2.9,female
130T15H,high,15,1.357,1.326,4.22,male
131T15H,high,15,0.538,0.5166,3.17,female
132T15H,high,15,0.753,0.769,3.55,male
133T15H,high,15,0.416,0.362,2.6,female
134T15H,high,15,0.792,0.778,3.68,female
135T15H,high,15,0.675,0.659,3.3,female
136T23C,control,23,0.807,0.766,3.55,female
137T23C,control,23,0.656,0.61,3.25,female
138T23C,control,23,0.615,0.563,3.3,male
139T23C,control,23,0.718,0.667,3.45,male
140T23C,control,23,0.721,0.671,3.43,male
141T23C,control,23,0.816,0.779,3.5,male
142T23C,control,23,0.644,0.58,3.25,female
143T9L,low,9,0.781,0.712,3.43,female
144T9L,low,9,0.876,0.766,3.47,male
145T9L,low,9,0.578,0.561,3.25,male
146T9L,low,9,0.662,0.628,3.25,female
147T9L,low,9,0.62,0.579,3.08,female
148T9L,low,9,0.583,0.535,3.1,female
149T9L,low,9,0.438,0.414,2.95,female
150T20H,high,20,0.548,0.519,3.1,female
151T20H,high,20,0.778,0.756,3.51,male
152T20H,high,20,0.595,0.534,3.12,female
153T20H,high,20,0.471,0.452,3,female
154T20H,high,20,0.647,0.619,3.25,male
155T20H,high,20,0.768,0.748,3.55,male
156T20H,high,20,0.728,0.676,3.4,male
