fish_id,treatment,body_mass1,body_mass2,delta,post-pre,wbc,nl_ratio
03LPS3,LPS,0.1555,0.128,-0.177,-0.0275,182,0.099
04LPS4,LPS,0.2409,0.2327,-0.034,-0.0082,84,0.176
05LPS5,LPS,0.1271,0.1051,-0.173,-0.022,205,0.031
07LPSC6,PBS,0.1438,0.1357,-0.056,-0.0081,128,0.02
09LPSC4,PBS,0.0932,0.0917,-0.016,-0.0015,54,0.064
10LPSC5,PBS,0.0732,0.0722,-0.014,-0.001,52,0.042
11NI2,NI,0.0875,0.0822,-0.061,-0.0053,46,0.124
13NI7,NI,0.0538,0.0533,-0.009,-0.0005,35,0.075
14LPS7,LPS,0.0883,0.0788,-0.108,-0.0095,72,0.099
15LPS4,LPS,0.0868,0.083,-0.044,-0.0038,109,0.088
17LPS2,LPS,0.0772,0.0705,-0.087,-0.0067,91,0.111
19LPSC8,PBS,0.1469,0.1385,-0.057,-0.0084,33,0.042
20LPSC5,PBS,0.1524,0.1434,-0.059,-0.009,34,0.075
21LPSC2,PBS,0.0692,0.0659,-0.048,-0.0033,76,0.01
23LPSC4,PBS,0.1845,0.1721,-0.067,-0.0124,37,0.138
25NI1,NI,0.135,0.1284,-0.049,-0.0066,58,0.091
26NI5,NI,0.0485,0.0536,0.105,0.0051,50,0.042
27LPS6,LPS,0.0961,0.0893,-0.071,-0.0068,48,0.124
28LPS7,LPS,0.1167,0.1108,-0.051,-0.0059,88,0.37
29LPS8,LPS,0.1194,0.1113,-0.068,-0.0081,136,0.099
30LPS1,LPS,0.0936,0.0856,-0.085,-0.008,77,0.031
31LPS2,LPS,0.1026,0.0931,-0.093,-0.0095,186,0.37
32LPSC6,PBS,0.0569,0.0554,-0.026,-0.0015,41,0.053
34LPSC8,PBS,0.0622,0.0564,-0.093,-0.0058,27,0.075
35LPSC1,PBS,0.0766,0.0716,-0.065,-0.005,34,0.065
36LPSC2,PBS,0.0854,0.0826,-0.033,-0.0028,29,0.066
37NI3,NI,0.1102,0.1087,-0.014,-0.0015,39,0.099
38NI3,NI,0.0818,0.0828,0.012,0.001,73,0.068
39NI4,NI,0.1648,0.1533,-0.07,-0.0115,25,0.064
40LPS5,LPS,0.1178,0.1084,-0.08,-0.0094,54,0.151
41LPS5,LPS,0.0576,0.0553,-0.04,-0.0023,87,0.149
42LPS6,LPS,0.0899,0.0902,0.003,0.0003,63,0.22
43LPS6,LPS,0.0776,0.0745,-0.04,-0.0031,47,0.22
44LPS7,LPS,0.068,0.0654,-0.038,-0.0026,44,0.19
45LPS1,LPS,0.1238,0.1172,-0.053,-0.0066,59,0.124
46LPS8,LPS,0.0668,0.0661,-0.01,-0.0007,145,0.136
47LPS8,LPS,0.0714,0.0671,-0.06,-0.0043,149,0.462
48LPSC7,PBS,0.077,0.0714,-0.073,-0.0056,24,0.053
49LPSC1,PBS,0.1,0.097,-0.03,-0.003,58,0.087
