fish_number,fish_id,treatment,tank_id,sex,body_mass_before,body_mass_after,body_mass,body_length,trial,distance_cm,freezing_s,refuge_duration_s,velocity_cm.s,total_wbc,n.l_ratio
1,1T2C,control,2,male,0.697,0.673,0.673,3.3,Trial 1,2529.73,859.62,437.6,1.77717,31,0.666666667
2,2T2C,control,2,female,0.424,0.424,0.424,2.75,Trial 1,55.39,397.96,0,1.80E-15,33,0.149425287
3,3T2C,control,2,female,0.624,0.581,0.581,3.3,Trial 8,1059.66,1054.9,33.62,0.086199,28,0.315789474
4,4T2C,control,2,female,0.629,0.614,0.614,3.25,Trial 14,76.443,465.14,0,0.020424,33,0.428571429
5,5T2C,control,2,male,1.003,0.974,0.974,3.78,Trial 35,3237.31,780.9,567.08,1.44,14,0.265822785
6,6T2C,control,2,female,0.573,0.555,0.555,3.1,Trial 28,1195.33,944.88,102.02,0.656764,17,0.149425287
7,7T17L,low,17,male,0.909,0.916,0.916,3.85,Trial 1,1829.03,898.38,498.96,0.492649,24,0.086956522
8,8T17L,low,17,male,0.804,0.772,0.772,3.5,Trial 8,623.028,1015.56,924.98,2.22144,27,0.111111111
9,9T17L,low,17,female,0.655,0.601,0.601,3.25,Trial 35,263.736,1196.2,0,0.098582,22,0.086956522
10,10T17L,low,17,male,1.026,0.992,0.992,3.95,Trial 14,3335.94,633.4,15.64,1.02903,33,0.190476191
11,11T17L,low,17,female,0.631,0.57,0.57,3.2,Trial 21,1021.24,1098.46,939.2,2.77995,15,0.098901099
12,12T17L,low,17,female,0.597,0.549,0.549,3.21,Trial 28,564.764,1083.86,0,2.08047,25,0.25
13,13T3H,high,3,male,0.573,0.511,0.511,3.1,Trial 1,1902.22,892.66,335.64,1.26008,21,0.086956522
14,14T3H,high,3,male,0.832,0.753,0.753,3.5,Trial 8,2052.42,812.72,152.32,0.516868,29,0.162790698
15,15T3H,high,3,male,0.452,0.425,0.425,2.78,Trial 14,2321.37,684.1,37.32,1.00087,28,0.162790698
